"1366","ἀστράβη","ἀστράβ",Feminine,1e,稲妻,lightning bolt,0,0,0
"1367","ἀστραγαλωτή","ἀστραγαλωτ",Feminine,1e,足首,ankle,0,0,0
"1368","ἀστραπή","ἀστραπ",Feminine,1e,雷,lightning,0,0,0
"1369","ἀστρολογία","ἀστρολογί",Feminine,1a,占星術,astrology,0,0,0
"1370","ἀστρονομία","ἀστρονομί",Feminine,1a,天文学,astronomy,0,0,0
"1371","ἀσφάλεια","ἀσφάλει",Feminine,1a,安全,security,0,0,0
"1372","ἀσφυξία","ἀσφυξί",Feminine,1a,窒息,suffocation,0,0,0
"1373","ἀσωτία","ἀσωτί",Feminine,1a,無駄,waste,0,0,0
"1374","ἀσύφη","ἀσύφ",Feminine,1e,説明のつかない,unaccountable,0,0,0
"1375","ἀτέλεια","ἀτέλει",Feminine,1a,不完全さ,imperfection,0,0,0
"1376","ἀταξία","ἀταξί",Feminine,1a,障害,disorder,0,0,0
"1377","ἀταραξία","ἀταραξί",Feminine,1a,乱気流,turbulence,0,0,0
"1378","ἀτασθαλία","ἀτασθαλί",Feminine,1a,不規則性,irregularity,0,0,0
"1379","ἀτασθαλίη","ἀτασθαλί",Feminine,1e,無関心,apathy,0,0,0
"1380","ἀτιμία","ἀτιμί",Feminine,1a,不正,dishonesty,0,0,0
"1381","ἀφάκη","ἀφάκ",Feminine,1e,無水晶体,aphakic,0,0,0
"1382","ἀφάρκη","ἀφάρκ",Feminine,1e,無尽蔵,inexhaustible,0,0,0
"1383","ἀφία","ἀφί",Feminine,1a,アフィア,afia,0,0,0
"1384","ἀφαιρετική","ἀφαιρετικ",Feminine,1e,減法,subtractive,0,0,0
"1385","ἀφραδίη","ἀφραδί",Feminine,1e,アフラディー,aphradie,0,0,0
"1386","ἀφροσύνη","ἀφροσύν",Feminine,1e,愚かさ,foolishness,0,0,0
"1387","ἀφωνία","ἀφωνί",Feminine,1a,無言,speechlessness,0,0,0
"1388","ἀφύη","ἀφύ",Feminine,1e,自然,nature,0,0,0
"1389","ἀχάνη","ἀχάν",Feminine,1e,アハニ,ahani,0,0,0
"1390","ἀχρηματία","ἀχρηματί",Feminine,1a,キャッシュレス,cashless,0,0,0
"1391","ἀχυροθήκη","ἀχυροθήκ",Feminine,1e,干し草の山,haystack,0,0,0
"1392","ἀϋτή","ἀϋτ",Feminine,1e,彼女,she,0,0,0
"1393","ἁγιωσύνη","ἁγιωσύν",Feminine,1e,神聖さ,holiness,0,0,0
"1394","ἁγνεία","ἁγνεί",Feminine,1a,貞操,chastity,0,0,0
"1395","ἁλία","ἁλί",Feminine,1a,アリア,Alia,0,0,0
"1396","ἁλοθήκη","ἁλοθήκ",Feminine,1e,ハローケース,halo case,0,0,0
"1397","ἁμαρτία","ἁμαρτί",Feminine,1a,罪,sin,0,0,0
"1398","ἁρμάμαξα","ἁρμάμαξ",Feminine,1a,覆われた戦車,covered chariot,0,0,0
"1399","ἁρματοδρομία","ἁρματοδρομί",Feminine,1a,戦車レース,chariot race,0,0,0
"1400","ἁρμογή","ἁρμογ",Feminine,1e,フィッティング,fitting,0,0,0
"1401","ἁρμονία","ἁρμονί",Feminine,1a,調和,harmony,0,0,0
"1402","ἁφή","ἁφ",Feminine,1e,照明、火付け、触覚、触覚、グリップ、レスラーに振りかけられた砂、彼らがお互いにグリップできるようにする、接触点、交差点、縞模様、脳卒中、特にハンセン病の感染、塗膜、接触点 体、靭帯,"lighting, kindling, touch, sense of touch, grip, sand sprinkled over wrestlers, to enable them to get a grip of one another, point of contact, intersection, stripes, strokes, infection, especially of leprosy, unction, point of contact in the body, ligament",0,0,0
"1403","ἄγκυρα","ἄγκυρ",Feminine,1a,アンカー,anchor,0,0,0
"1404","ἄγνοια","ἄγνοι",Feminine,1a,無知,ignorance,0,0,0
"1405","ἄγρα","ἄγρ",Feminine,1a,アグラ,agra,0,0,0
"1406","ἄγυια","ἄγυι",Feminine,1a,セインツ,Saints,0,0,0
"1407","ἄγχουσα","ἄγχουσ",Feminine,1a,アルカネット、植物から抽出した染料,"alkanet, dyeing matter extracted from the plant",0,0,0
"1408","ἄδεια","ἄδει",Feminine,1a,許可,permission,0,0,0
"1409","ἄελλα","ἄελλ",Feminine,1a,その他,others,0,0,0
"1410","ἄκαινα","ἄκαιν",Feminine,1a,あかいな,akaina,0,0,0
"1411","ἄκανθα","ἄκανθ",Feminine,1a,脊椎,spine,0,0,0
"1412","ἄκορνα","ἄκορν",Feminine,1a,どんぐり,acorns,0,0,0
"1413","ἄκρα","ἄκρ",Feminine,1a,四肢,extremities,0,0,0
"1414","ἄλκη","ἄλκ",Feminine,1e,ムース,moose,0,0,0
"1415","ἄμαλλα","ἄμαλλ",Feminine,1a,そうでもなければ,unless,0,0,0
"1416","ἄμαξα","ἄμαξ",Feminine,1a,車,car,0,0,0
"1417","ἄμη","ἄμ",Feminine,1e,月,month,0,0,0
"1418","ἄνοια","ἄνοι",Feminine,1a,認知症,dementia,0,0,0
"1419","ἄπνοια","ἄπνοι",Feminine,1a,静止,stillness,0,0,0
"1420","ἄργελλα","ἄργελλ",Feminine,1a,粘土,clay,0,0,0
"1421","ἄρουρα","ἄρουρ",Feminine,1a,ネズミ,rats,0,0,0
"1422","ἄση","ἄσ",Feminine,1e,それで,so,0,0,0
"1423","ἄσιλλα","ἄσιλλ",Feminine,1a,アジラ,Asilla,0,0,0
"1424","ἄτη","ἄτ",Feminine,1e,アティ,ati,0,0,0
"1425","ἄφθα","ἄφθ",Feminine,1a,アフタ、口内炎、ツグミ,"aphtha, mouth ulcer, thrush",0,0,0
"1426","ἄφρισσα","ἄφρισσ",Feminine,1a,アフリカ,afrissa,0,0,0
"1427","ἄχνη","ἄχν",Feminine,1e,靄,mist,0,0,0
"1428","ἅβρα","ἅβρ",Feminine,1a,アブラ,Abra,0,0,0
"1429","ἅλμη","ἅλμ",Feminine,1e,塩水,brine,0,0,0
"1430","ἅμαξα","ἅμαξ",Feminine,1a,車,car,0,0,0
"1431","ἅμιλλα","ἅμιλλ",Feminine,1a,エミュレーション,emulation,0,0,0
"1432","ἅρπα","ἅρπ",Feminine,1a,ハープ,harp,0,0,0
"1433","ἅρπη","ἅρπ",Feminine,1e,ハープ,harp,0,0,0
"1434","Ἀμαζονομαχία","Ἀμαζονομαχί",Feminine,1a,アマゾンバトル,Amazon battle,0,0,0
"1435","Ἀσιαρχία","Ἀσιαρχί",Feminine,1a,アジアアーキ,Asiaarchy,0,0,0
"1436","Ἀτρυτώνη","Ἀτρυτών",Feminine,1e,アトリトーニ,Atrytoni,0,0,0
"1437","ἐγγυθήκη","ἐγγυθήκ",Feminine,1e,保証,guarantee,0,0,0
"1438","ἐγγύη","ἐγγύ",Feminine,1e,近い,close,0,0,0
"1439","ἐγκράτεια","ἐγκράτει",Feminine,1a,禁欲,abstinence,0,0,0
"1440","ἐγχείη","ἐγχεί",Feminine,1e,手術,surgery,0,0,0
"1441","ἐδεσματοθήκη","ἐδεσματοθήκ",Feminine,1e,包帯ケース,bandage case,0,0,0
"1442","ἐκδοχή","ἐκδοχ",Feminine,1e,バージョン,version,0,0,0
"1443","ἐκθυμία","ἐκθυμί",Feminine,1a,エクスタシー,ecstasy,0,0,0
"1444","ἐκκλησία","ἐκκλησί",Feminine,1a,教会,church,0,0,0
"1445","ἐκπληξία","ἐκπληξί",Feminine,1a,サプライズ,surprise,0,0,0
"1446","ἐκπομπή","ἐκπομπ",Feminine,1e,ブロードキャスト,broadcast,0,0,0
"1447","ἐκροή","ἐκρο",Feminine,1e,流出,outflow,0,0,0
"1448","ἐκστρατεία","ἐκστρατεί",Feminine,1a,運動,campaign,0,0,0
"1449","ἐκτομή","ἐκτομ",Feminine,1e,切除,excision,0,0,0
"1450","ἐλάα","ἐλά",Feminine,1a,来て,come on,0,0,0
"1451","ἐλάτη","ἐλάτ",Feminine,1e,モミ,fir,0,0,0
"1452","ἐλαία","ἐλαί",Feminine,1a,オリーブ,olive,0,0,0
"1453","ἐλαίη","ἐλαί",Feminine,1e,オイル,oils,0,0,0
"1454","ἐλατίνη","ἐλατίν",Feminine,1e,エラチン,elatin,0,0,0
"1455","ἐλεγεία","ἐλεγεί",Feminine,1a,エレジー,elegy,0,0,0
"1456","ἐλεημοσύνη","ἐλεημοσύν",Feminine,1e,施し,alms,0,0,0
"1457","ἐλευθερία","ἐλευθερί",Feminine,1a,フリーダム,freedom,0,0,0
"1458","ἐλευθεροστομία","ἐλευθεροστομί",Feminine,1a,自由,liberties,0,0,0
"1459","ἐλεφαντομαχία","ἐλεφαντομαχί",Feminine,1a,象の戦い,elephant fight,0,0,0
"1461","ἐμπειρία","ἐμπειρί",Feminine,1a,経験,experience,0,0,0
"1462","ἐμπλοκή","ἐμπλοκ",Feminine,1e,編組、乱闘、織り交ぜ、もつれ,"braiding, scuffle, interweaving, entanglement",0,0,0
"1463","ἐμπορία","ἐμπορί",Feminine,1a,マーケティング,marketing,0,0,0
"1464","ἐνέργεια","ἐνέργει",Feminine,1a,エネルギー,energy,0,0,0
"1465","ἐνθήκη","ἐνθήκ",Feminine,1e,場合,case,0,0,0
"1466","ἐνθυμία","ἐνθυμί",Feminine,1a,熱意,enthusiasm,0,0,0
"1467","ἐνιπή","ἐνιπ",Feminine,1e,王女,princess,0,0,0
"1468","ἐνοπή","ἐνοπ",Feminine,1e,洞察,in sight,0,0,0
"1469","ἐνουρήθρα","ἐνουρήθρ",Feminine,1a,尿道,urethra,0,0,0
"1470","ἐνοχή","ἐνοχ",Feminine,1e,罪悪感,guilt,0,0,0
"1471","ἐντέλεια","ἐντέλει",Feminine,1a,完璧,perfection,0,0,0
"1472","ἐντελέχεια","ἐντελέχει",Feminine,1a,徹底的,thoroughly,0,0,0
"1473","ἐντεροκήλη","ἐντεροκήλ",Feminine,1e,腸瘤,enterocele,0,0,0
"1474","ἐντολή","ἐντολ",Feminine,1e,委任,mandate,0,0,0
"1475","ἐντροπία","ἐντροπί",Feminine,1a,エントロピ,entropy,0,0,0
"1476","ἐνωμοτία","ἐνωμοτί",Feminine,1a,分隊,squad,0,0,0
"1477","ἐξουσία","ἐξουσί",Feminine,1a,パワー,power,0,0,0
"1478","ἐπήρεια","ἐπήρει",Feminine,1a,影響,influence,0,0,0
"1479","ἐπίνοια","ἐπίνοι",Feminine,1a,工夫,contrivance,0,0,0
"1480","ἐπαγγελία","ἐπαγγελί",Feminine,1a,注文,order,0,0,0
"1481","ἐπαγωγή","ἐπαγωγ",Feminine,1e,誘導,induction,0,0,0
"1482","ἐπιγραφή","ἐπιγραφ",Feminine,1e,碑文,inscription,0,0,0
"1483","ἐπιδιαθήκη","ἐπιδιαθήκ",Feminine,1e,遺言,testament,0,0,0
"1484","ἐπιείκεια","ἐπιείκει",Feminine,1a,耽溺,indulgence,0,0,0
"1485","ἐπιθήκη","ἐπιθήκ",Feminine,1e,遺産,legacy,0,0,0
"1486","ἐπιθυμία","ἐπιθυμί",Feminine,1a,願い,wish,0,0,0
"1487","ἐπικουρία","ἐπικουρί",Feminine,1a,援助,assistance,0,0,0
"1488","ἐπιλογή","ἐπιλογ",Feminine,1e,選択,selection,0,0,0
"1489","ἐπιμαχία","ἐπιμαχί",Feminine,1a,紛争,dispute,0,0,0
"1490","ἐπιορκία","ἐπιορκί",Feminine,1a,偽証,perjury,0,0,0
"1491","ἐπιπλοκήλη","ἐπιπλοκήλ",Feminine,1e,複雑,complicated,0,0,0
"1492","ἐπιστήμη","ἐπιστήμ",Feminine,1e,理科,science,0,0,0
"1493","ἐπιστολή","ἐπιστολ",Feminine,1e,手紙,letter,0,0,0
"1494","ἐπιστροφή","ἐπιστροφ",Feminine,1e,戻る,return,0,0,0
"1495","ἐπισυνθήκη","ἐπισυνθήκ",Feminine,1e,追加条件,additional condition,0,0,0
"1496","ἐπιτομή","ἐπιτομ",Feminine,1e,縮図,epitome,0,0,0
"1497","ἐπιφάνεια","ἐπιφάνει",Feminine,1a,水面,surface,0,0,0
"1498","ἐπιφορά","ἐπιφορ",Feminine,1a,面付け,imposition,0,0,0
"1499","ἐπιχαιρεκακία","ἐπιχαιρεκακί",Feminine,1a,便宜,expediency,0,0,0
"1500","ἐποποιία","ἐποποιί",Feminine,1a,大作,epic,0,0,0
"1501","ἐπουσία","ἐπουσί",Feminine,1a,面前,presence,0,0,0
"1502","ἐποχή","ἐποχ",Feminine,1e,時間,time,0,0,0
"1503","ἐπωνυμία","ἐπωνυμί",Feminine,1a,ブランド名,brand name,0,0,0
"1504","ἐρίπνη","ἐρίπν",Feminine,1e,断崖絶壁,"broken cliff, crag",0,0,0
"1505","ἐργαλοθήκη","ἐργαλοθήκ",Feminine,1e,ツールボックス,toolbox,0,0,0
"1506","ἐργασία","ἐργασί",Feminine,1a,仕事,work,0,0,0
"1507","ἐρείκη","ἐρείκ",Feminine,1e,ヘザー,heather,0,0,0
"1508","ἐρημία","ἐρημί",Feminine,1a,荒野,wilderness,0,0,0
"1509","ἐριθάκη","ἐριθάκ",Feminine,1e,蜂のパン、サンダラック、甲殻類の柔らかい部分、豚の内臓,"bee bread, sandarac, soft parts of crustaceans, entrails of pigs",0,0,0
"1510","ἐρυσίβη","ἐρυσίβ",Feminine,1e,カビ,mildew,0,0,0
"1511","ἐρωή","ἐρω",Feminine,1e,勇者,hero,0,0,0
"1512","ἐρωμένη","ἐρωμέν",Feminine,1e,愛人,mistress,0,0,0
"1513","ἐσχάρα","ἐσχάρ",Feminine,1a,グリッド,grid,0,0,0
"1514","ἐσχάρη","ἐσχάρ",Feminine,1e,囲炉裏、家、プラットフォーム、スタンド,"hearth, house, platform, stand",0,0,0
"1515","ἐσχατιά","ἐσχατι",Feminine,1a,昨晩,last night,0,0,0
"1516","ἐσχατιή","ἐσχατι",Feminine,1e,最後の,final,0,0,0
"1517","ἐτυμολογία","ἐτυμολογί",Feminine,1a,語源,etymology,0,0,0
"1518","ἐφέδρα","ἐφέδρ",Feminine,1a,エフェドラ,ephedra,0,0,0
"1519","ἐφημερία","ἐφημερί",Feminine,1a,関税,duty,0,0,0
"1520","ἐχέτλη","ἐχέτλ",Feminine,1e,プラウハンドル,plough-handle,0,0,0
"1521","ἐόργη","ἐόργ",Feminine,1e,怒り,angry,0,0,0
"1522","ἑκατόμβη","ἑκατόμβ",Feminine,1e,ヘカトン,hecatomb,0,0,0
"1523","ἑλένη","ἑλέν",Feminine,1e,ヘレン,Helen,0,0,0
"1524","ἑλεδώνη","ἑλεδών",Feminine,1e,ギリシャ語,Hellenic,0,0,0
"1525","ἑλλεβορίνη","ἑλλεβορίν",Feminine,1e,ヘレボリン,helleborine,0,0,0
"1526","ἑξακονταμοιρία","ἑξακονταμοιρί",Feminine,1a,六小隊,hexaplatoon,0,0,0
"1527","ἑξηκονταμοιρία","ἑξηκονταμοιρί",Feminine,1a,第六十飛行隊,sixtieth squadron,0,0,0
"1528","ἑορτή","ἑορτ",Feminine,1e,ごちそう,feast,0,0,0
"1529","ἑρμηνεία","ἑρμηνεί",Feminine,1a,解釈,interpretation,0,0,0
"1530","ἑσπέρα","ἑσπέρ",Feminine,1a,夜,evening,0,0,0
"1531","ἑστία","ἑστί",Feminine,1a,集中,focus,0,0,0
"1532","ἑταίρα","ἑταίρ",Feminine,1a,娼婦,courtesan,0,0,0
"1533","ἑτεροφωνία","ἑτεροφωνί",Feminine,1a,異音,heterophony,0,0,0
"1534","ἑτερωνυμία","ἑτερωνυμί",Feminine,1a,他律,heteronomy,0,0,0
"1535","ἑψία","ἑψί",Feminine,1a,敗血症,sepsis,0,0,0
"1536","ἔνδεια","ἔνδει",Feminine,1a,貧困,poverty,0,0,0
"1537","ἔννοια","ἔννοι",Feminine,1a,検出,sense,0,0,0
"1538","ἔρευνα","ἔρευν",Feminine,1a,リサーチ,research,0,0,0
"1539","ἔχθρα","ἔχθρ",Feminine,1a,憎しみ,hatred,0,0,0
"1540","ἔχιδνα","ἔχιδν",Feminine,1a,バイパー,viper,0,0,0
"1541","ἕδρα","ἕδρ",Feminine,1a,シート,seat,0,0,0
"1542","ἕρση","ἕρσ",Feminine,1e,推力,thrust,0,0,0
"1543","ἠθολογία","ἠθολογί",Feminine,1a,動物行動学,ethology,0,0,0
"1544","ἠλακάτη","ἠλακάτ",Feminine,1e,差出人,distaff,0,0,0
"1545","ἠλύγη","ἠλύγ",Feminine,1e,慈悲,mercy,0,0,0
"1546","ἠριγένεια","ἠριγένει",Feminine,1a,独創,originality,0,0,0
"1547","ἠχή","ἠχ",Feminine,1e,エコー,echo,0,0,0
"1548","ἡγεμονία","ἡγεμονί",Feminine,1a,覇権,hegemony,0,0,0
"1549","ἡδονή","ἡδον",Feminine,1e,喜び,pleasure,0,0,0
"1550","ἡδυσματοθήκη","ἡδυσματοθήκ",Feminine,1e,ワードローブ,wardrobe,0,0,0
"1551","ἡλιαία","ἡλιαί",Feminine,1a,太陽,solar,0,0,0
"1552","ἡλιομαντεία","ἡλιομαντεί",Feminine,1a,ヘリオ占い,heliodivination,0,0,0
"1553","ἡμέρα","ἡμέρ",Feminine,1a,日,day,0,0,0
"1554","ἡμικρανία","ἡμικρανί",Feminine,1a,片頭痛,migraine,0,0,0
"1555","ἡνία","ἡνί",Feminine,1a,手綱,reins,0,0,0
"1556","ἡρωΐνη","ἡρωΐν",Feminine,1e,ヘロイン,heroin,0,0,0
"1557","ἡρωίνη","ἡρωίν",Feminine,1e,ヘロイン,heroin,0,0,0
"1558","ἡσυχία","ἡσυχί",Feminine,1a,静かな,quiet,0,0,0
"1559","ἥβη","ἥβ",Feminine,1e,思春期,puberty,0,0,0
"1560","ἧσσα","ἧσσ",Feminine,1a,敗北、不快感,"defeat, discomfiture",0,0,0
"1561","ἰά","ἰ",Feminine,1a,"喧噪, 叫び, 叫び, 響き, 咆哮","clamor, shout, cry, sound, roar",0,0,0
"1562","ἰάκχα","ἰάκχ",Feminine,1a,香りの花輪の名前,name of a perfumed garland,0,0,0
"1563","ἰάσμη","ἰάσμ",Feminine,1e,香り,fragrance,0,0,0
"1564","ἰαμβύκη","ἰαμβύκ",Feminine,1e,イアンビキ,Iambyki,0,0,0
"1565","ἰαχή","ἰαχ",Feminine,1e,泣く、叫ぶ、勝者と敗者の両方、嘆き、金切り声、悲鳴、楽しい音、喜びの叫び,"cry, shout, both of victor and vanquished, wail, shriek, scream, joyous sound, shout of joy",0,0,0
"1566","ἰγνύα","ἰγνύ",Feminine,1a,サイン,sign,0,0,0
"1567","ἰδέα","ἰδέ",Feminine,1a,考え,idea,0,0,0
"1568","ἰδιοσυγκρασία","ἰδιοσυγκρασί",Feminine,1a,気質,temperament,0,0,0
"1569","ἰξίνη","ἰξίν",Feminine,1e,カーライン アザミ,carline thistle,0,0,0
"1570","ἰσονομία","ἰσονομί",Feminine,1a,残高,balance,0,0,0
"1571","ἰσοψηφία","ἰσοψηφί",Feminine,1a,タイ,tie,0,0,0
"1572","ἰτέα","ἰτέ",Feminine,1a,柳,willow,0,0,0
"1573","ἰυγή","ἰυγ",Feminine,1e,アイビー,ivy,0,0,0
"1574","ἰχθυοθηρία","ἰχθυοθηρί",Feminine,1a,釣り,fishing,0,0,0
"1575","ἰχθυοθηρική","ἰχθυοθηρικ",Feminine,1e,魚類の,ichthyotheric,0,0,0
"1576","ἰχθυόκολλα","ἰχθυόκολλ",Feminine,1a,魚のり,Fish glue,0,0,0
"1577","ἰχθύα","ἰχθύ",Feminine,1a,魚,fish,0,0,0
"1578","ἰωκή","ἰωκ",Feminine,1e,ἰοκι,ἰοκι,0,0,0
"1579","ἱέρεια","ἱέρει",Feminine,1a,巫女,priestess,0,0,0
"1580","ἱεραρχία","ἱεραρχί",Feminine,1a,階層,hierarchy,0,0,0
"1581","ἱεροβοτάνη","ἱεροβοτάν",Feminine,1e,バーベナ,verbena,0,0,0
"1582","ἱεροθήκη","ἱεροθήκ",Feminine,1e,神社,shrine,0,0,0
"1583","ἱκεσία","ἱκεσί",Feminine,1a,嘆願,supplication,0,0,0
"1584","ἱκετεία","ἱκετεί",Feminine,1a,物乞い,begging,0,0,0
"1585","ἱλάειρα","ἱλάειρ",Feminine,1a,イライラ,Ilaira,0,0,0
"1586","ἱμάσθλη","ἱμάσθλ",Feminine,1e,ガードル,girdle,0,0,0
"1587","ἱματιοθήκη","ἱματιοθήκ",Feminine,1e,ロッカー,locker,0,0,0
"1588","ἱμονιά","ἱμονι",Feminine,1a,苦痛,agony,0,0,0
"1589","ἱπποκρατία","ἱπποκρατί",Feminine,1a,馬術,equestrianism,0,0,0
"1590","ἱστοδόκη","ἱστοδόκ",Feminine,1e,ヒストドキ,histodoki,0,0,0
"1591","ἱστοκεραία","ἱστοκεραί",Feminine,1a,アンテナ,antennae,0,0,0
"1592","ἱστοπέδη","ἱστοπέδ",Feminine,1e,ヒストペディ,histopedi,0,0,0
"1593","ἱστορία","ἱστορί",Feminine,1a,歴史,history,0,0,0
"1594","ἴδη","ἴδ",Feminine,1e,木材の木、木、樹木が茂った丘,"timber tree, wood, wooded hill",0,0,0
"1595","ἴκμη","ἴκμ",Feminine,1e,身長,height,0,0,0
"1596","ἴλη","ἴλ",Feminine,1e,病気,ill,0,0,0
"1597","ἴσκαι","ἴσκ",Feminine,1a,焼灼器として使用されるオークやクルミの木に生育する菌類,fungus growing on oaks and walnut trees used as cautery,1,0,0
"1598","Ἰουδαία","Ἰουδαί",Feminine,1a,ユダヤ,Judea,0,0,0
"1599","ὀβελία","ὀβελί",Feminine,1a,矢印,arrow,0,0,0
"1600","ὀδμή","ὀδμ",Feminine,1e,浮腫,oedema,0,0,0
"1601","ὀδοντάγρα","ὀδοντάγρ",Feminine,1a,ὀodontagra,ὀodontagra,0,0,0
"1602","ὀδύνη","ὀδύν",Feminine,1e,試練,ordeal,0,0,0
"1603","ὀθόνη","ὀθόν",Feminine,1e,画面,screen,0,0,0
"1604","ὀθόννα","ὀθόνν",Feminine,1a,画面,screen,0,0,0
"1605","ὀλιγανθρωπία","ὀλιγανθρωπί",Feminine,1a,ὀliganthropy,ὀliganthropy,0,0,0
"1606","ὀλιγαρχία","ὀλιγαρχί",Feminine,1a,寡頭制,oligarchy,0,0,0
"1607","ὀλιγοθερμία","ὀλιγοθερμί",Feminine,1a,乏熱症,oligothermia,0,0,0
"1608","ὀλιγοτροφία","ὀλιγοτροφί",Feminine,1a,寡占,oligotrophy,0,0,0
"1609","ὀλολυγή","ὀλολυγ",Feminine,1e,解決,solution,0,0,0
"1610","ὀμίχλη","ὀμίχλ",Feminine,1e,霧,fog,0,0,0
"1611","ὀμφή","ὀμφ",Feminine,1e,匂い,smell,0,0,0
"1612","ὀνομαστική","ὀνομαστικ",Feminine,1e,公称,nominal,0,0,0
"1613","ὀνοματοποιία","ὀνοματοποιί",Feminine,1a,オノマトペ,onomatopoeia,0,0,0
"1614","ὀξάλμη","ὀξάλμ",Feminine,1e,ピクルス,pickle,0,0,0
"1615","ὀξεῖα","ὀξεῖ",Feminine,1a,シャープ,sharp,0,0,0
"1616","ὀξυάκανθα","ὀξυάκανθ",Feminine,1a,メギ,barberry,0,0,0
"1617","ὀξυμυρσίνη","ὀξυμυρσίν",Feminine,1e,オキシミルシン,oxymyrsine,0,0,0
"1618","ὀξύα","ὀξύ",Feminine,1a,ブナ,beech,0,0,0
"1619","ὀπή","ὀπ",Feminine,1e,穴,hole,0,0,0
"1620","ὀπωπή","ὀπωπ",Feminine,1e,目,Eye,0,0,0
"1621","ὀπωροθήκη","ὀπωροθήκ",Feminine,1e,倉庫,storehouse,0,0,0
"1622","ὀπώρα","ὀπώρ",Feminine,1a,今,now,0,0,0
"1623","ὀργή","ὀργ",Feminine,1e,怒り,anger,0,0,0
"1624","ὀρθοέπεια","ὀρθοέπει",Feminine,1a,整形外科,orthoepy,0,0,0
"1625","ὀρθογραφία","ὀρθογραφί",Feminine,1a,つづり,spelling,0,0,0
"1626","ὀρθοδοξία","ὀρθοδοξί",Feminine,1a,正統派,orthodoxy,0,0,0
"1627","ὀρθόπνοια","ὀρθόπνοι",Feminine,1a,起立呼吸,Orthopnea,0,0,0
"1628","ὀροφή","ὀροφ",Feminine,1e,屋根,roof,0,0,0
"1629","ὀρυά","ὀρυ",Feminine,1a,採石道具の一種、つるはし,"kind of quarrying tool, pickaxe",0,0,0
"1630","ὀρχήστρα","ὀρχήστρ",Feminine,1a,オーケストラ,orchestra,0,0,0
"1631","ὀσμή","ὀσμ",Feminine,1e,におい,odor,0,0,0
"1632","ὀσμύλη","ὀσμύλ",Feminine,1e,悪臭,stench,0,0,0
"1633","ὀσπριοθήκη","ὀσπριοθήκ",Feminine,1e,脈拍を保つ場所,place to keep pulse in,0,0,0
"1634","ὀστοθήκη","ὀστοθήκ",Feminine,1e,オストセカ,ostotheca,0,0,0
"1635","ὀστρύα","ὀστρύ",Feminine,1a,カキ,oysters,0,0,0
"1636","ὀσφυαλγία","ὀσφυαλγί",Feminine,1a,腰痛,lumbago,0,0,0
"1637","ὀχλοκρατία","ὀχλοκρατί",Feminine,1a,オクラシー,ocracy,0,0,0
"1638","ὀψοθήκη","ὀψοθήκ",Feminine,1e,食料庫,larder,0,0,0
"1639","ὀϊστοθήκη","ὀϊστοθήκ",Feminine,1e,記録,archive,0,0,0
"1640","ὁμαιχμία","ὁμαιχμί",Feminine,1a,競争,rivalry,0,0,0
"1641","ὁμηλικίη","ὁμηλικί",Feminine,1e,未熟児,prematurity,0,0,0
"1642","ὁμιλία","ὁμιλί",Feminine,1a,話し中,speaking,0,0,0
"1643","ὁμολογία","ὁμολογί",Feminine,1a,相同性,homology,0,0,0
"1644","ὁπλή","ὁπλ",Feminine,1e,蹄,hoof,0,0,0
"1645","ὁπλοθήκη","ὁπλοθήκ",Feminine,1e,武器庫,armory,0,0,0
"1646","ὁρμή","ὁρμ",Feminine,1e,勢い,momentum,0,0,0
"1647","ὄα","ὄ",Feminine,1a,おー,Oh,0,0,0
"1648","ὄβρυζα","ὄβρυζ",Feminine,1a,金の試金,assaying of gold,0,0,0
"1649","ὄγχνη","ὄγχν",Feminine,1e,音,sound,0,0,0
"1650","ὄζαινα","ὄζαιν",Feminine,1a,オザエナ、慢性鼻炎の一種、悪臭を放つタコの一種,"ozaena, type of chronic rhinitis, fetid kind of octopus",0,0,0
"1651","ὄλπη","ὄλπ",Feminine,1e,オイル用革製フラスコ,leathern flask for oil,0,0,0
"1652","ὄλυρα","ὄλυρ",Feminine,1a,涙,tears,0,0,0
"1653","ὄργυια","ὄργυι",Feminine,1a,測る,fathom,0,0,0
"1654","ὄρυζα","ὄρυζ",Feminine,1a,ご飯,rice,0,0,0
"1655","ὄρφνη","ὄρφν",Feminine,1e,孤児,orphan,0,0,0
"1656","ὄσσα","ὄσσ",Feminine,1a,エッセ,esse,0,0,0
"1657","ὄσχη","ὄσχ",Feminine,1e,音,sound,0,0,0
"1658","ὄττα","ὄττ",Feminine,1a,オッタ,otta,0,0,0
"1659","ὄχθη","ὄχθ",Feminine,1e,銀行,bank,0,0,0
"1660","ὑγίεια","ὑγίει",Feminine,1a,健康,health,0,0,0
"1661","ὑδρία","ὑδρί",Feminine,1a,水差し,jug,0,0,0
"1662","ὑδροθήκη","ὑδροθήκ",Feminine,1e,水槽,water tank,0,0,0
"1663","ὑδροκήλη","ὑδροκήλ",Feminine,1e,水腫,hydrocele,0,0,0
"1664","ὑδρομαντεία","ὑδρομαντεί",Feminine,1a,ハイドロマンシー,hydromancy,0,0,0
"1665","ὑδρομύλη","ὑδρομύλ",Feminine,1e,水,water,0,0,0
"1666","ὑμνῳδία","ὑμνῳδί",Feminine,1a,賞賛,praise,0,0,0
"1667","ὑπήνη","ὑπήν",Feminine,1e,口ひげ、上唇の毛,"moustache, hair on upper lip",0,0,0
